"1. Organisation
Name","2. Purpose 
of Spend","3. Directorate /  
Service 
Responsible","4. Start
Date","5. End
Date",6.Amount,"7. Supplier /
Beneficiary
Name","8. Registered
Number"
Rochdale Borough Council,GRANT PAYMENT - HP/09/23 FUNCTIONAL FITNESS COURSE (HEYWOOD TOWNSHIP),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,340.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HW/08/23 OUTSIDE IN,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,161.75",GET UP AND GROW NW LTD,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HW/09/23 MONDAY COMMUNITY CLUB`S ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£458.26,THE MONDAY COMMUNITY CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HW/10/23 ST LUKE`S CHURCH CLOCK MECHANISM REFURBISHMENT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,082.00",PCC OF ST LUKES HEYWOOD,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MW/06/23 DEMESNE COMMUNITY YOUTH THEATRE HOME PERFORMANCE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,020.00",DEMESNE COMMUNITY ASSOCIATION,1061422
Rochdale Borough Council,GRANT PAYMENT - MW/04/23 COOKER FOR DEMESNE COMMUNITY CENTRE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,438.96",DEMESNE COMMUNITY ASSOCIATION,1061422
Rochdale Borough Council,GRANT PAYMENT - MN/03/22 THREE PITS ALLOTMENT SOCIETY SECURITY FENCE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,702.45",THREE PITS ALLOTMENT SOCIETY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MN/03/23 TOWNLEY STREET ADDITIONAL PLANTERS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£692.08,HISTORIC CHEAPSIDE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MEF/05/22 MIDDFEST 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£17,794.91",MIDDLETON ROUND TABLE,1070853
Rochdale Borough Council,GRANT PAYMENT - MP/13/22 HEYKIDS HIGH SCHOOL MUSICAL AT MIDDLETON ARENA,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,425.00",HEYWOOD AMATEUR OPERATIC AND DRAMATIC SOCIETY,1118944
Rochdale Borough Council,GRANT PAYMENT - MP/17/22 MIDDLETON IN BLOOM 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,129.16",MIDDLETON IN BLOOM,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MP/11/22 BOWLEE HERITAGE GROUP,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,000.00",BOWLEE COMMUNITY ASSOCIATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MP/08/23 SCOUT HUT RESTORATION PROJECT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,000.00",1ST MIDDLETON SCOUT GROUP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MP/02/23 THE GARDEN PROJECT HOPWOOD HALL ESTATE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,975.00",HOPWOOD FOUNDATION FOR HERITAGE ARTS,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MP/12/22 MIDDLETON HOLIDAY @ HOME 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£210.00,YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MP/12/22 MIDDLETON HOLIDAY @ HOME 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£12,479.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MP/03/23 FUNCTIONAL FITNESS COURSE (MIDDLETON TOWNSHIP),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,340.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - MP/05/23 ROCHDALE HORNETS DEVELOPMENT SCHEME (MIDDLETON TOWNSHIP),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£10,640.00",ROCHDALE HORNETS SPORTING FOUNDATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/09/23 INDEPENDENCE DAY CRICKET TOURNAMENT 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£475.00,PUNJAB CRICKET CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/19/23 KIRKHOLT CHRISTMAS LIGHTS SWITCH ON 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£500.00,OUR LOCAL PANTRY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/17/23 PLANTERS AND PAINTING AT THE LANDINGS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£833.20,BLUE PITS HOUSING ACTION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/32/23 SOUTH ASIAN HERITAGE EXHIBITION AND POETRY,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",MULTICULTURAL RESOURCE CENTRE,1127743
Rochdale Borough Council,GRANT PAYMENT - M/35/23 FESTIVE FOOD SUPPORT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,000.00",NIGERIA COMMUNITY ASSOCIATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/44/23 LOCK 50 GARDENING GROUP,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£500.00,LOCK 50 COMMUNITY GROUP,UNKNOWN
