Rok(y) podpory,Název žadatele,Název projektu,Oblast podpory,Poskytovatel dotace,Přidělená částka [Kč],Název výzvy;;;;
"2024,""Mateřská škola Slezská Ostrava, Komerční 22a, příspěvková organizace"",Angličtina hrou III.,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,171000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Mateřská škola Ostrava, Varenská 2a, příspěvková organizace"",Angličtina v MŠ Varenská,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,172000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Mateřská škola Slezská Ostrava, Zámostní 31, příspěvková organizace"",Hravá angličtina,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,171000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,KAFIRA o.p.s.,Kompenzační pomůcky - MTZ pro práci s klienty se zrakovým postižením ,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace;;;;
"2024,""Základní škola a mateřská škola Ostrava-Hrabůvka, Mitušova 16, příspěvková organizace"",Celá Mitušova jazykům otevřena IV.,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,287000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Společnost pro podporu lidí s mentálním postižením Ostrava, z.s."",Zajištění mobility pro osoby s mentálním postižením,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
2024,Veselá školička,Můžeme být všichni spolu,Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,500000,Mimořádná dotace;;;;
2024,  Michal Vavrečka  ,Rádi zde trávíme čas,Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,500000,Mimořádná dotace;;;;
"2024,""Lékařské a přírodovědné gymnázium PRIGO, s.r.o."",Jazykové vzdělávání LPG PRIGO,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,210000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Jazykové a humanitní gymnázium PRIGO, s.r.o."",Jazykové vzdělávání JAHU PRIGO,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,238000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,Salesiánské středisko volného času Don Bosco,Auto pro Don Bosco,Oblast sociální péče,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
"2024,""Penguin´s KINDERGARTEN - mateřská škola PRIGO, s.r.o."",Bilingvní výuka Penguin´s KINDERGARTEN,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,146000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,Základní škola a mateřská škola Montessori Ostrava,Podpora výuky cizích jazyků v ZŠ a MŠ Montessori Ostrava 2024,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,218000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025;;;;
"2024,""Mateřská škola Ostrava, Lechowiczova 8, příspěvková organizace"",""Ať jsme malí nebo větší, můžeme znát více řečí"",Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,176000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
