id,name,proposer,status,category,district,year,budget,image,detail,longitude,latitude,ObjectId,x,y
1308,Veřejné záchody v Líšni,Michal Chaloupka,nevítězný,Jiné,Brno-Líšeň,2020,3000000,https://paro.damenavas.cz/images/project/1308/c2fc7ed56d7efab09f0b.jpg?v=2025-09-16+15%3A10%3A55,https://paro.damenavas.cz/project/1308,16.6887414784095,49.2093037830636,533,1857782.20335713,6310450.77792874
1309,Život stromům ,Michal Polanský,nevítězný,Zeleň,Brno,2020,3000000,https://paro.damenavas.cz/images/project/1309/f3fabd0f7c8ed91cc046.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1309,16.6083100432967,49.1949744319926,534,1848828.61695659,6308009.46360876
1312,Skatepark Bystrc,Martina Adamusová,nevítězný,Sport,Brno-Bystrc,2020,2990000,https://paro.damenavas.cz/images/project/1312/4db89afabaa5aaee9aff.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1312,16.5143097155634,49.2256613611305,535,1838364.54833892,6313238.50955177
1317,Ukliďme si v lese (uklízecí balíčky),Jana Konečná,nevítězný,Zeleň,Brno,2020,428000,https://paro.damenavas.cz/images/project/1317/c08bea9926e14b9af251.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1317,16.6083100432967,49.1949744319926,536,1848828.61695659,6308009.46360876
1329,Cyklotrasa Kníničky - Sokolák,Martin Žák,nevítězný,Sport,Brno-Kníničky,2020,3000000,https://paro.damenavas.cz/images/project/1329/f2365d44e6826e87a127.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1329,16.5217893683033,49.2417760891213,537,1839197.17947324,6315985.75614435
1343,Podjezd na cyklostezce kolem Svitavy (PD),Ladislav Hráček,nevítězný,Sport,Brno-střed,2020,800000,https://paro.damenavas.cz/images/year-category-icons/25/5544c61fdb899fd9e0aa.svg,https://paro.damenavas.cz/project/1343,16.6281760098535,49.191400248138,538,1851040.08623782,6307400.63443032
1344,Kuličkové hřiště s grilem na Bzenecké,Mgr. Nikola Vasilevská,nevítězný,Zábava,Brno-Vinohrady,2020,3000000,https://paro.damenavas.cz/images/project/1344/aa207b08a21064746698.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1344,16.6568710860738,49.206592467078,539,1854234.40751094,6309988.79244856
1348,Pěšky k hrázi bezpečně (PD),Aneta Pokorná,nevítězný,Doprava,Brno-Bystrc,2020,3000000,https://paro.damenavas.cz/images/project/1348/1a4410e4fc18d721e9b5.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1348,16.5169728822444,49.2307738196979,540,1838661.01069776,6314109.98689459
1355,"Cyklostezka Líšeň – centrum (studie, PD)",Michal Teplík,nevítězný,Doprava,Brno-Slatina,2020,950000,https://paro.damenavas.cz/images/project/1355/f8b9799b1106a4e942ab.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1355,16.6826201437248,49.1871540159574,541,1857100.77949705,6306677.38519946
1357,Volejbalové kurty Lužánky,Marek Novák,nevítězný,Sport,Brno-střed,2020,3000000,https://paro.damenavas.cz/images/project/1357/78ff67ba645d7cdb5186.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1357,16.612329798791,49.2056992804316,542,1849276.09409134,6309836.60649043
1367,Vytunění Cacovického ostrova,Jan Bogdan,nevítězný,Zeleň,Brno-Maloměřice a Obřany,2020,2990000,https://paro.damenavas.cz/images/project/1367/8ee840cdf3cadd4d8787.jpg?v=2025-09-16+15%3A10%3A55,https://paro.damenavas.cz/project/1367,16.6388861388527,49.2241894611978,543,1852232.33234434,6312987.62400249
1373,Moruše do Brna,Kamil Krinčev,nevítězný,Zeleň,Brno,2020,462000,https://paro.damenavas.cz/images/project/1373/f7626c477ebb3eca682c.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1373,16.6083100432967,49.1949744319926,544,1848828.61695659,6308009.46360876
1374,Trvalkové záhony před školou,Kamil Krinčev,nevítězný,Zeleň,Brno-Jehnice,2020,334000,https://paro.damenavas.cz/images/project/1374/d27a2563ecd52451400a.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1374,16.5957385111824,49.2690234563979,545,1847429.16040315,6320632.94057603
1386,Cyklostezka u Křenky,Lukáš Janků,nevítězný,Doprava,Brno-střed,2020,1950000,https://paro.damenavas.cz/images/project/1386/f607fbf9d996d6113c6a.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1386,16.6286414345752,49.1946008922331,546,1851091.89708084,6307945.83250538
1396,"Osvěžte se deštěm, Vinohrady!",Ondřej Tichý,nevítězný,Zeleň,Brno-Vinohrady,2020,3000000,https://paro.damenavas.cz/images/project/1396/ef5aca500c22a72cad22.jpg?v=2025-09-16+15%3A10%3A55,https://paro.damenavas.cz/project/1396,16.6615344663187,49.2065009990746,547,1854753.53262518,6309973.20751047
1399,"Malované hřiště Hoppova, Brno-střed",Helena Votavová,nevítězný,Zeleň,Brno-střed,2020,2050000,https://paro.damenavas.cz/images/project/1399/d5beb78ceba3da3cc321.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1399,16.6016552150549,49.2084928465094,548,1848087.8048654,6310312.59849288
1401,"Cyklostezka vyhlídka–Kampus (studie, PD)",David Jaša,nevítězný,Doprava,Brno-střed,2020,400000,https://paro.damenavas.cz/images/project/1401/2357e103f0042333d32b.png?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1401,16.574530534288,49.1807459776403,549,1845068.29921451,6305586.03888502
1406,Cyklopruhy na Cejlu (PD),Kateřina Pavlíková,nevítězný,Doprava,Brno-střed,2020,950000,https://paro.damenavas.cz/images/project/1406/bb857d382759b6b9da39.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1406,16.6212712627163,49.1985936464181,550,1850271.45330245,6308626.00815708
